projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0005,HammerTime 🔨 ⏰,17070,"Burden, Luther",WR,CHI,6.416666666666667,66.0,145.56,10.606,retain_existing,0,5000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,16214,"LaPorta, Sam",TE,DET,7.75,82.0,144.64,10.423,manual_extension_keep,0,8000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,16190,"Flowers, Zay",WR,BAL,6.666666666666667,69.0,143.84,10.485,retain_existing,0,25000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,16181,"Brown, Chase",RB,CIN,4.666666666666667,45.0,142.76,10.295,manual_extension_keep,0,3000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,15284,"Waddle, Jaylen",WR,MIA,6.833333333333333,71.0,142.75,10.409,expiring_to_pool,1,0,14539.06,9.818,WR,312,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,17043,"Henderson, TreVeyon",RB,NEP,5.083333333333333,50.0,137.68,9.956,retain_existing,0,12000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,15789,"Watson, Christian",WR,GBP,7.833333333333333,83.0,137.08,10.011,retain_existing,0,1000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0002,CBP,14102,"Metcalf, DK",WR,PIT,8.0,85.0,136.25,9.953,expiring_to_pool,1,0,13437.16,10.14,WR,312,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,17074,"Hunter, Travis",WR,JAC,8.083333333333334,86.0,135.85,9.925,retain_existing,0,14000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,15329,"Pitts, Kyle",TE,ATL,9.083333333333334,98.0,135.51,9.742,manual_tag_keep,0,28000,0,,TE,124,inv_sqrt_adp_weighted_linear
