year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2022,12611,0011,0002,15000,2022-07-31 05:37:08,2022-08-01 17:50:53,36.23,36.23,8,5,2,0
2022,12616,0001,0001,6000,2022-08-01 15:48:57,2022-08-02 15:52:06,24.05,24.05,4,3,0,0
2022,12630,0004,0004,5000,2022-08-02 09:48:39,2022-08-03 17:46:29,31.96,31.96,4,1,2,0
2022,12676,0011,0011,8000,2022-08-01 16:30:10,2022-08-04 12:39:27,68.15,48.0,5,2,2,0
2022,12677,0012,0012,5000,2022-08-01 15:43:06,2022-08-03 14:42:44,46.99,46.99,5,2,2,0
2022,12718,0004,0006,3000,2022-08-02 09:49:10,2022-08-03 14:18:08,28.48,28.48,3,1,1,0
2022,12720,0009,0010,3000,2022-08-03 10:54:23,2022-08-05 02:05:12,39.18,39.18,3,1,1,0
2022,12752,0001,0001,3000,2022-07-31 13:57:23,2022-08-01 14:02:07,24.08,24.08,3,2,0,0
2022,12779,0004,0004,4000,2022-08-01 10:10:01,2022-08-02 10:10:45,24.01,24.01,2,1,0,0
2022,12788,0010,0010,2000,2022-08-04 10:07:01,2022-08-05 10:11:16,24.07,24.07,2,1,0,0
2022,12930,0002,0002,3000,2022-08-04 04:11:36,2022-08-05 04:11:49,24.0,24.0,2,1,0,0
2022,13108,0006,0006,4000,2022-07-31 11:14:11,2022-08-01 11:19:24,24.09,24.09,4,3,0,0
2022,13115,0008,0009,17000,2022-08-01 04:01:50,2022-08-03 15:41:09,59.66,48.0,9,4,4,0
2022,13129,0009,0009,39000,2022-07-30 16:38:01,2022-08-02 10:26:26,65.81,48.0,9,3,5,0
2022,13134,0006,0001,4000,2022-08-01 14:28:01,2022-08-03 04:21:45,37.9,37.9,3,1,1,0
2022,13138,0011,0006,22000,2022-07-30 17:17:29,2022-08-01 11:19:24,42.03,42.03,8,3,4,0
2022,13139,0006,0004,14000,2022-08-02 13:27:01,2022-08-04 18:32:01,53.08,48.0,10,2,7,0
2022,13146,0010,0010,38000,2022-07-30 16:09:29,2022-07-31 16:10:01,24.01,24.01,9,8,0,0
2022,13153,0005,0005,4000,2022-08-04 11:33:38,2022-08-05 11:33:40,24.0,24.0,3,2,0,0
2022,13156,0012,0008,15000,2022-07-30 18:27:59,2022-07-31 21:00:09,26.54,26.54,5,2,2,0
2022,13189,0012,0010,2000,2022-08-03 04:29:24,2022-08-04 08:59:35,28.5,28.5,2,0,1,0
2022,13192,0002,0002,3000,2022-07-31 04:22:27,2022-08-01 04:23:41,24.02,24.02,3,2,0,0
